Asset UAI,Asset Name,Catalogue Code,Specification,USD / Kit,Identity Status
CERT-PKS-000057,GHK,GH50,50 mg x 10 vials,37,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000058,AHK-Cu,AU100,100 mg x 10 vials,75,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000059,Acetyl Octapeptide-3 / SNAP-8,NP810,10 mg x 10 vials,42,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000060,Matrixyl Supplier Product Family,MA10,10 mg x 10 vials,35,CRITICAL IDENTITY GAP
CERT-PKS-000061,PNC-27,PN5,5 mg x 10 vials,99,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000061,PNC-27,PN10,10 mg x 10 vials,169,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000062,PTD-DBM,PTD5,5 mg x 10 vials,265,UNVERIFIED SUPPLIER PRODUCT
